id	kind	name	pools	cache	special	gfx
26	passive	Rotten Meat	boss,beggar,dungeon,greedBoss			Collectibles_026_RottenMeat.png
27	passive	Wooden Spoon	boss,greedBoss	speed		Collectibles_027_WoodenSpoon.png
28	passive	The Belt	boss,greedBoss	speed		Collectibles_028_TheBelt.png
29	passive	Mom's Underwear	boss,dungeon,greedBoss	range		Collectibles_029_MomsUnderwear.png
30	passive	Mom's Heels	boss,dungeon,greedBoss	range		Collectibles_030_MomsHeels.png
31	passive	Mom's Lipstick	boss,dungeon,greedBoss	range		Collectibles_031_MomsLipstick.png
32	passive	Wire Coat Hanger	boss,greedBoss	firedelay		Collectibles_032_WireCoatHanger.png
33	active	The Bible	shop,angel,library	flying		Collectibles_033_TheBible.png
34	active	The Book of Belial	devil,library,greedTreasure,greedDevil,greedLibrary	damage		Collectibles_034_TheBookOfBelial.png
35	active	The Necronomicon	devil,secret,library,greedTreasure,greedDevil,greedLibrary			Collectibles_035_TheNecronomicon.png
36	active	The Poop	treasure			Collectibles_036_ThePoop.png
37	active	Mr. Boom	treasure,challenge,bossrush,greedTreasure,bombBum			Collectibles_037_MrBoom.png
38	active	Tammy's Head	goldenChest,greedTreasure,greedGoldenChest			Collectibles_038_TammysHead.png
39	active	Mom's Bra	treasure,dungeon			Collectibles_039_MomsBra.png
40	active	Kamikaze!	treasure			Collectibles_040_Kamikaze.png
41	active	Mom's Pad	treasure,dungeon			Collectibles_041_MomsPad.png
42	active	Bob's Rotten Head	treasure,goldenChest,greedTreasure,greedGoldenChest			Collectibles_042_BobsRottenHead.png
44	active	Teleport!	treasure			Collectibles_044_Teleport.png
45	active	Yum Heart	treasure,greedTreasure			Collectibles_045_YumHeart.png
46	passive	Lucky Foot	treasure,beggar,greedShop	luck		Collectibles_046_LuckyFoot.png
47	active	Doctor's Remote	treasure,greedTreasure			Collectibles_047_DoctorsRemote.png
48	passive	Cupid's Arrow	treasure,greedTreasure	tearflag		Collectibles_048_CupidsArrow.png
49	active	Shoop da Whoop!	treasure			Collectibles_049_ShoopDaWhoop.png
50	passive	Steven	goldenChest,greedTreasure,greedGoldenChest	damage		Collectibles_050_Steven.png
51	passive	Pentagram	boss,devil,curse,greedDevil	damage		Collectibles_051_Pentagram.png
52	passive	Dr. Fetus	treasure,greedTreasure	damage,firedelay,luck,range,shotspeed,speed	1	Collectibles_052_DrFetus.png
53	passive	Magneto	treasure			Collectibles_053_Magneto.png
54	passive	Treasure Map	shop,beggar			Collectibles_054_TreasureMap.png
55	passive	Mom's Eye	treasure,dungeon,greedTreasure			Collectibles_055_MomsEye.png
56	active	Lemon Mishap	treasure,greedTreasure			Collectibles_056_LemonMishap.png
57	familiar	Distant Admiration	treasure,keyMaster,greedTreasure			Collectibles_057_DistantAdmiration.png
58	active	Book of Shadows	treasure,library,greedLibrary			Collectibles_058_BookOfShadows.png
60	passive	The Ladder	shop	tearflag		Collectibles_060_TheLadder.png
62	passive	Charm of the Vampire	treasure,greedTreasure			Collectibles_062_CharmOfTheVampire.png
63	passive	The Battery	shop,greedShop			Collectibles_063_TheBattery.png
64	passive	Steam Sale	shop,greedTreasure			Collectibles_064_SteamSale.png
65	active	Anarchist Cookbook	treasure,library,greedTreasure,greedLibrary			Collectibles_065_AnarchistCookbook.png
66	active	The Hourglass	treasure			Collectibles_066_TheHourglass.png
67	familiar	Sister Maggy	treasure,devil,greedTreasure,greedDevil			Collectibles_067_SisterMaggy.png
68	passive	Technology	treasure,greedTreasure	damage,firedelay,luck,range,shotspeed,speed		Collectibles_068_Technology.png
69	passive	Chocolate Milk	treasure,greedTreasure	damage,firedelay,luck,range,shotspeed,speed		Collectibles_069_ChocolateMilk.png
70	passive	Growth Hormones	boss,demonBeggar,greedBoss	damage,speed		Collectibles_070_GrowthHormones.png
71	passive	Mini Mush	treasure,greedBoss	range,speed		Collectibles_071_MiniMushroom.png
72	passive	Rosary	treasure,angel,greedAngel			Collectibles_072_Rosary.png
73	familiar	Cube of Meat	greedTreasure,greedBoss,greedShop,greedCurse,greedDevil,greedAngel,greedSecret			Collectibles_073_CubeOfMeat.png
74	passive	A Quarter	treasure,secret			Collectibles_074_AQuarter.png
75	passive	PHD	treasure,shop,greedShop			Collectibles_075_PHD.png
76	passive	X-Ray Vision	treasure,greedShop			Collectibles_076_XrayVision.png
77	active	My Little Unicorn	treasure,greedTreasure	speed		Collectibles_077_MyLittleUnicorn.png
78	active	Book of Revelations	treasure,library,greedTreasure,greedAngel,greedLibrary			Collectibles_078_BookOfRevelations.png
79	passive	The Mark	devil,curse,greedDevil	damage,speed		Collectibles_079_TheMark.png
80	passive	The Pact	devil,curse,greedDevil	damage,firedelay		Collectibles_080_ThePact.png
81	familiar	Dead Cat	devil,redChest,curse,greedCurse,greedDevil			Collectibles_081_DeadCat.png
82	passive	Lord of the Pit	devil,greedDevil	flying,speed		Collectibles_082_LordOfThePit.png
83	active	The Nail	devil,greedDevil	damage,speed		Collectibles_083_TheNail.png
84	active	We Need To Go Deeper!	devil,secret,greedShop			Collectibles_084_WeNeedToGoDeeper.png
85	active	Deck of Cards	treasure,shop,greedTreasure			Collectibles_085_DeckOfCards.png
86	active	Monstro's Tooth	treasure			Collectibles_086_MonstrosTooth.png
87	passive	Loki's Horns	treasure,greedTreasure			Collectibles_087_LokisHorns.png
88	familiar	Little Chubby	treasure,greedTreasure			Collectibles_088_LittleChubby.png
89	passive	Spider Bite	treasure,greedTreasure	tearcolor,tearflag		Collectibles_089_SpidersBite.png
90	passive	The Small Rock		damage,firedelay,speed,tearcolor		Collectibles_090_SmallRock.png
91	passive	Spelunker Hat	treasure,greedShop			Collectibles_091_SpelunkerHat.png
92	passive	Super Bandage	treasure,boss			Collectibles_092_SuperBandage.png
93	active	The Gamekid	treasure,greedTreasure			Collectibles_093_TheGameKid.png
94	familiar	Sack of Pennies	treasure,secret,goldenChest,greedTreasure			Collectibles_094_SackOfPennies.png
95	familiar	Robo-Baby	treasure,greedTreasure			Collectibles_095_RoboBaby.png
96	familiar	Little C.H.A.D.	treasure,greedTreasure			Collectibles_096_LittleChad.png
97	active	The Book of Sin	treasure,devil,library,greedTreasure,greedDevil,greedLibrary			Collectibles_097_BookOfSin.png
98	familiar	The Relic	treasure,angel,greedTreasure			Collectibles_098_TheRelic.png
99	familiar	Little Gish	treasure,greedTreasure			Collectibles_099_LittleGish.png
100	familiar	Little Steven	treasure,boss,greedTreasure			Collectibles_100_LittleSteve.png
101	passive	The Halo	treasure,boss,angel,greedTreasure,greedBoss	damage,firedelay,range,speed		Collectibles_101_TheHalo.png
102	active	Mom's Bottle of Pills	treasure,shop,beggar,demonBeggar,dungeon,greedTreasure			Collectibles_102_MomsBottleOfPills.png
103	passive	The Common Cold	treasure,greedTreasure	tearcolor,tearflag		Collectibles_103_TheCommonCold.png
104	passive	The Parasite	treasure,greedTreasure	tearcolor,tearflag		Collectibles_104_TheParasite.png
105	active	The D6	treasure,greedShop		1	Collectibles_105_Dice.png
106	passive	Mr. Mega	treasure,secret,challenge,bossrush,greedTreasure			Collectibles_106_MrMega.png
107	active	The Pinking Shears	treasure,greedTreasure	familiars		Collectibles_107_PinkingShears.png
108	passive	The Wafer	treasure,angel,greedTreasure			Collectibles_108_TheWafer.png
109	passive	Money = Power	treasure	damage		Collectibles_109_MoneyisPower.png
110	passive	Mom's Contacts	treasure,dungeon,greedTreasure	range,tearcolor,tearflag		Collectibles_110_MomsContacts.png
111	active	The Bean	treasure,beggar,greedTreasure			Collectibles_111_TheBean.png
112	familiar	Guardian Angel	angel,greedAngel			Collectibles_112_GuardianAngel.png
113	familiar	Demon Baby	treasure,devil,demonBeggar,greedDevil			Collectibles_113_DemonBaby.png
114	passive	Mom's Knife	treasure,devil,dungeon,greedTreasure,greedDevil	damage,firedelay,luck,range,shotspeed,speed	1	Collectibles_114_MomsKnife.png
115	passive	Ouija Board	treasure,greedTreasure,greedDevil	tearcolor,tearflag		Collectibles_115_OuijaBoard.png
116	passive	9 Volt	shop,greedShop			Collectibles_116_9Volt.png
117	passive	Dead Bird	treasure,greedTreasure,greedDevil	familiars		Collectibles_117_DeadBird.png
118	passive	Brimstone	devil	damage,firedelay,luck,range,shotspeed,speed	1	Collectibles_118_Brimstone.png
119	passive	Blood Bag	goldenChest	speed		Collectibles_119_BloodBag.png
120	passive	Odd Mushroom (Thin)	treasure,secret,greedTreasure,greedBoss	damage,firedelay,speed		Collectibles_120_OddMushroomThin.png
121	passive	Odd Mushroom (Large)	treasure,secret	damage,range,speed		Collectibles_121_OddMushroomLarge.png
122	passive	Whore of Babylon	devil,greedDevil	damage,speed		Collectibles_122_WhoreOFBabylon.png
123	active	Monster Manual	treasure,greedLibrary			Collectibles_123_MonsterManual.png
124	active	Dead Sea Scrolls	treasure,angel,greedTreasure			Collectibles_124_DeadSeaScrolls.png
125	passive	Bobby-Bomb	treasure,challenge,bossrush,greedTreasure,bombBum			Collectibles_125_BobbyBomb.png
126	active	Razor Blade	devil	damage		Collectibles_126_RazorBlade.png
127	active	Forget Me Now	treasure,secret			Collectibles_127_ForgetMeNow.png
128	familiar	Forever Alone	treasure,keyMaster,greedTreasure			Collectibles_128_ForeverAlone.png
129	passive	Bucket of Lard	treasure	speed		Collectibles_129_BucketofLard.png
130	active	A Pony		flying,speed		Collectibles_130_APony.png
131	familiar	Bomb Bag	treasure,secret,challenge,goldenChest,bossrush,greedTreasure,bombBum			Collectibles_131_BombBag.png
132	passive	A Lump of Coal	greedTreasure,greedBoss,greedDevil	damage,tearcolor,tearflag		Collectibles_132_ALumpOfCoal.png
133	active	Guppy's Paw	devil,redChest,curse,greedCurse,greedDevil			Collectibles_133_GuppysPaw.png
134	passive	Guppy's Tail	devil,redChest,curse,greedCurse,greedDevil			Collectibles_134_GuppysTail.png
135	active	IV Bag	goldenChest			Collectibles_135_IVBag.png
136	active	Best Friend	treasure			Collectibles_136_BestFriend.png
137	active	Remote Detonator	treasure,shop,challenge,bossrush,greedTreasure			Collectibles_137_RemoteDetonator.png
138	passive	Stigmata	treasure,greedTreasure,greedAngel	damage		Collectibles_138_Stigmata.png
139	passive	Mom's Purse	shop,dungeon,greedShop			Collectibles_139_MomsPurse.png
140	passive	Bob's Curse	treasure,challenge,redChest,bossrush,greedTreasure,bombBum			Collectibles_140_BobsCurse.png
141	passive	Pageant Boy	boss			Collectibles_141_PageantBoy.png
142	passive	Scapular	treasure,angel,greedTreasure			Collectibles_142_Scapular.png
143	passive	Speed Ball	treasure,boss,demonBeggar,greedBoss	shotspeed,speed		Collectibles_143_Speedball.png
144	familiar	Bum Friend	treasure,beggar			Collectibles_144_BumFriend.png
145	active	Guppy's Head	devil,goldenChest,redChest,curse,greedCurse,greedDevil,greedGoldenChest			Collectibles_145_GuppysHead.png
146	active	Prayer Card	treasure,angel,greedTreasure			Collectibles_146_PrayerCard.png
147	active	Notched Axe	treasure			Collectibles_147_NotchedAxe.png
148	passive	Infestation	treasure,greedTreasure			Collectibles_148_Infestation.png
149	passive	Ipecac	treasure,greedTreasure	damage,firedelay,luck,range,shotspeed,speed		Collectibles_149_Ipecac.png
150	passive	Tough Love	treasure,greedTreasure			Collectibles_150_ToughLove.png
151	passive	The Mulligan	treasure,greedTreasure	tearflag		Collectibles_151_TheMulligan.png
152	passive	Technology 2	treasure,greedTreasure	damage,weapon		Collectibles_152_Technology2.png
153	passive	Mutant Spider	treasure,greedTreasure	damage,firedelay	1	Collectibles_153_MutantSpider.png
154	passive	Chemical Peel	treasure,greedTreasure	damage		Collectibles_154_ChemicalPeel.png
155	familiar	The Peeper	treasure,greedTreasure			Collectibles_155_ThePeeper.png
156	passive	Habit	shop,angel,greedShop			Collectibles_156_Habit.png
157	passive	Bloody Lust	treasure,greedTreasure	damage		Collectibles_157_BloodyLust.png
158	active	Crystal Ball	treasure			Collectibles_158_CrystalBall.png
159	passive	Spirit of the Night	devil,greedDevil	flying,tearcolor,tearflag		Collectibles_159_SpiritOfTheNight.png
160	active	Crack the Sky	treasure			Collectibles_160_CrackTheSky.png
161	passive	Ankh	treasure,greedTreasure			Collectibles_161_Ankh.png
162	passive	Celtic Cross	treasure,angel,greedTreasure,greedAngel			Collectibles_162_CelticCross.png
163	familiar	Ghost Baby	treasure,devil,greedTreasure			Collectibles_163_GhostBaby.png
164	active	The Candle	shop			Collectibles_164_BlueCandle.png
165	passive	Cat-o-nine-tails	boss	damage,shotspeed		Collectibles_165_CatONineTails.png
166	active	D20	treasure,greedShop			Collectibles_166_D20.png
167	familiar	Harlequin Baby	treasure,greedTreasure			Collectibles_167_HarlequinBaby.png
168	passive	Epic Fetus	treasure,greedTreasure	damage,firedelay,luck,range,shotspeed,speed	1	Collectibles_168_EpicFetus.png
169	passive	Polyphemus	treasure,greedTreasure	damage,firedelay,tearflag	1	Collectibles_169_Polyphemus.png
170	familiar	Daddy Longlegs	treasure,greedTreasure			Collectibles_170_DaddyLonglegs.png
171	active	Spider Butt	treasure			Collectibles_171_SpiderButt.png
172	familiar	Sacrificial Dagger	treasure,devil,greedTreasure,greedDevil			Collectibles_172_SacrificialDagger.png
173	passive	Mitre	treasure,angel,greedAngel			Collectibles_173_Mitre.png
174	familiar	Rainbow Baby	treasure,greedTreasure			Collectibles_174_RainbowBaby.png
175	active	Dad's Key	treasure,keyMaster,greedTreasure			Collectibles_175_DadsKey.png
176	passive	Stem Cells	treasure,boss,greedBoss	shotspeed		Collectibles_176_StemCells.png
177	active	Portable Slot	shop,beggar			Collectibles_177_PortableSlot.png
178	familiar	Holy Water	treasure,angel,greedAngel			Collectibles_178_HolyWater.png
179	passive	Fate	goldenChest,greedGoldenChest	flying		Collectibles_179_Fate.png
180	passive	The Black Bean	treasure,beggar			Collectibles_180_BlackBean.png
181	active	White Pony		flying,speed		Collectibles_181_WhitePony.png
182	passive	Sacred Heart	angel,greedAngel	damage,firedelay,range,shotspeed,tearcolor,tearflag	1	Collectibles_182_SacredHeart.png
183	passive	Tooth Picks	boss,greedBoss	firedelay,shotspeed		Collectibles_183_ToothPicks.png
184	passive	Holy Grail	angel,greedAngel	flying		Collectibles_184_HolyGrail.png
185	passive	Dead Dove	angel,greedAngel	flying,tearcolor,tearflag		Collectibles_185_DeadDove.png
186	active	Blood Rights	treasure,greedTreasure			Collectibles_186_BloodRights.png
187	familiar	Guppy's Hairball	devil,greedDevil			Collectibles_187_GuppysHairball.png
188	familiar	Abel	treasure,goldenChest,greedTreasure,greedGoldenChest			Collectibles_188_Abel.png
189	passive	SMB Super Fan	treasure,greedTreasure	damage,firedelay,range,speed		Collectibles_189_SMBSuperFan.png
190	passive	Pyro	treasure,secret,greedTreasure,bombBum			Collectibles_190_Pyro.png
191	passive	3 Dollar Bill	treasure,greedTreasure			Collectibles_191_3DollarBill.png
192	active	Telepathy For Dummies	treasure,library,greedTreasure,greedLibrary	tearcolor,tearflag		Collectibles_192_TelepathyForDummies.png
193	passive	MEAT!	boss,greedBoss	damage		Collectibles_193_Meat.png
194	passive	Magic 8 Ball	boss,greedBoss	shotspeed		Collectibles_194_Magic8Ball.png
195	passive	Mom's Coin Purse	shop,boss,beggar,demonBeggar,dungeon,greedBoss			Collectibles_195_MomsCoinPurse.png
196	passive	Squeezy	boss,greedBoss	firedelay		Collectibles_196_Squeezy.png
197	passive	Jesus Juice	boss,greedBoss,greedAngel	damage,range		Collectibles_197_JesusJuice.png
198	passive	Box	boss,beggar,dungeon,greedBoss			Collectibles_198_Box.png
199	passive	Mom's Key	shop,keyMaster,dungeon,greedBoss			collectibles_199_momskey.png
200	passive	Mom's Eyeshadow	treasure,dungeon,greedTreasure	tearcolor		collectibles_200_momseyeshadow.png
201	passive	Iron Bar	treasure,greedTreasure	damage		collectibles_201_ironbar.png
202	passive	Midas' Touch	treasure			collectibles_202_midastouch.png
203	passive	Humbleing Bundle	shop			collectibles_203_humblingbundle.png
204	passive	Fanny Pack	shop,beggar,greedShop			collectibles_204_fannypack.png
205	passive	Sharp Plug	shop			collectibles_205_sharpplug.png
206	familiar	Guillotine	treasure,greedTreasure	damage,firedelay		collectibles_206_guillotine.png
207	familiar	Ball of Bandages				collectibles_207_ballofbandages.png
208	passive	Champion Belt	shop,greedShop	damage		collectibles_208_championbelt.png
209	passive	Butt Bombs	treasure,challenge,bossrush,greedTreasure,bombBum			collectibles_209_buttbombs.png
210	passive	Gnawed Leaf	treasure,greedTreasure			Collectibles_210_GnawedLeaf.png
211	passive	Spiderbaby	treasure			collectibles_211_spiderbaby.png
212	passive	Guppy's Collar	devil,redChest,curse,greedCurse,greedDevil			Collectibles_212_GuppysCollar.png
213	passive	Lost Contact	treasure,secret,greedTreasure	shotspeed		collectibles_213_lostcontact.png
214	passive	Anemic	treasure,greedTreasure	range		collectibles_214_anemic.png
215	passive	Goat Head	devil,goldenChest,curse	damage		collectibles_215_goathead.png
216	passive	Ceremonial Robes	devil,demonBeggar,curse,greedDevil	damage		Collectibles_216_CeremonialRobes.png
217	passive	Mom's Wig	treasure,dungeon,greedTreasure	firedelay		collectibles_217_momswig.png
218	passive	Placenta	boss			collectibles_218_placenta.png
219	passive	Old Bandage	boss			collectibles_219_oldbandage.png
220	passive	Sad Bombs	treasure,challenge,bossrush,greedTreasure,bombBum			collectibles_220_sadbombs.png
221	passive	Rubber Cement	treasure,greedTreasure	tearcolor,tearflag		collectibles_221_rubbercement.png
222	passive	Anti-Gravity	treasure,greedTreasure	firedelay,tearflag		collectibles_222_antigravity.png
223	passive	Pyromaniac	treasure,greedTreasure		1	collectibles_223_pyromaniac.png
224	passive	Cricket's Body	treasure,greedTreasure	firedelay,range,tearflag		collectibles_224_cricketsbody.png
225	passive	Gimpy	treasure,devil,demonBeggar,curse,greedDevil			collectibles_225_gimpy.png
226	passive	Black Lotus	secret,greedTreasure			collectibles_226_blacklotus.png
227	passive	Piggy Bank	treasure,shop			collectibles_227_piggybank.png
228	passive	Mom's Perfume	treasure,dungeon,greedTreasure	firedelay,tearcolor		collectibles_228_momsperfume.png
229	passive	Monstro's Lung	treasure,greedTreasure	damage,firedelay,luck,range,shotspeed,speed		collectibles_229_monstroslung.png
230	passive	Abaddon	devil,greedDevil	damage,speed		collectibles_230_abaddon.png
231	passive	Ball of Tar	treasure,greedTreasure	tearcolor		collectibles_231_balloftar.png
232	passive	Stop Watch	shop	speed		collectibles_232_stopwatch.png
233	passive	Tiny Planet	treasure,greedTreasure	damage,firedelay,luck,range,shotspeed,speed		collectibles_233_tinyplanet.png
234	passive	Infestation 2	treasure,greedTreasure			collectibles_234_infestation2.png
236	passive	E. Coli	treasure,greedTreasure			collectibles_236_ecoli.png
237	passive	Death's Touch	treasure,devil,greedTreasure,greedDevil	damage,firedelay,tearflag		collectibles_237_deathstouch.png
238	familiar	Key Piece 1				collectibles_238_keypiece1.png
239	familiar	Key Piece 2				collectibles_239_keypiece2.png
240	passive	Experimental Treatment	treasure,boss,demonBeggar,greedBoss	damage,firedelay,luck,range,shotspeed,speed		collectibles_240_experimentaltreatment.png
241	passive	Contract from Below	devil,demonBeggar,curse,greedDevil			collectibles_241_contractfrombelow.png
242	passive	Infamy	treasure,secret,goldenChest,greedTreasure,greedGoldenChest			collectibles_242_infamy.png
243	passive	Trinity Shield	angel,greedAngel	weapon		collectibles_243_trinityshield.png
244	passive	Tech.5	treasure,greedTreasure			collectibles_244_techpointfive.png
245	passive	20/20	treasure,greedTreasure			collectibles_245_2020.png
246	passive	Blue Map	shop,beggar,greedShop			collectibles_246_bluemap.png
247	passive	BFFS!	shop,greedShop			collectibles_247_bffs.png
248	passive	Hive Mind	shop,greedShop			collectibles_248_hivemind.png
249	passive	There's Options	shop			collectibles_249_theresoptions.png
250	passive	Bogo Bombs	shop,bombBum			collectibles_250_bogobombs.png
251	passive	Starter Deck	shop,greedShop			collectibles_251_starterdeck.png
252	passive	Little Baggy	shop,goldenChest,greedShop			collectibles_252_littlebaggy.png
253	passive	Magic Scab	boss,greedBoss	luck		collectibles_253_magicscab.png
254	passive	Blood Clot	boss,greedTreasure,greedBoss			collectibles_254_bloodclot.png
255	passive	Screw	boss,greedBoss	firedelay,shotspeed		collectibles_255_screw.png
256	passive	Hot Bombs	treasure,greedTreasure,bombBum			collectibles_256_hotbombs.png
257	passive	Fire Mind	treasure,greedTreasure	tearflag		collectibles_257_firemind.png
258	passive	Missing No.	secret,greedTreasure	damage,firedelay,luck,range,shotspeed,speed		collectibles_258_missingno.png
259	passive	Dark Matter	devil,greedDevil	damage		collectibles_259_darkmatter.png
260	passive	Black Candle	shop,curse,greedShop	damage		collectibles_260_blackcandle.png
261	passive	Proptosis	treasure,greedTreasure	damage,tearflag		collectibles_261_proptosis.png
262	passive	Missing Page 2	devil,secret,demonBeggar,greedLibrary	damage		collectibles_262_missingpage2.png
264	familiar	Smart Fly	treasure,keyMaster,greedTreasure			collectibles_264_smartfly.png
265	familiar	Dry Baby	treasure,greedTreasure			collectibles_265_drybaby.png
266	familiar	Juicy Sack	treasure,greedTreasure			collectibles_266_juicysack.png
267	familiar	Robo-Baby 2.0	treasure,greedTreasure			collectibles_267_robobaby2.png
268	familiar	Rotten Baby	treasure,devil,greedTreasure,greedDevil			collectibles_268_rottenbaby.png
269	familiar	Headless Baby	treasure,devil,greedTreasure,greedDevil			collectibles_269_headlessbaby.png
270	familiar	Leech	treasure,greedDevil			collectibles_270_leech.png
271	familiar	Mystery Sack	treasure,secret,goldenChest,beggar,greedTreasure			collectibles_271_mysterysack.png
272	familiar	BBF	treasure,keyMaster			collectibles_272_bff.png
273	familiar	Bob's Brain	treasure,goldenChest,greedTreasure,greedGoldenChest			collectibles_273_bobsbrain.png
274	familiar	Best Bud	treasure,greedTreasure			collectibles_274_bestbud.png
275	familiar	Lil Brimstone	treasure,devil			collectibles_275_lilbrimstone.png
276	familiar	Isaac's Heart	treasure			collectibles_276_isaacsheart.png
277	familiar	Lil Haunt	treasure,greedTreasure			collectibles_277_lilhaunt.png
278	familiar	Dark Bum	treasure,devil			collectibles_278_darkbum.png
279	familiar	Big Fan	treasure,greedTreasure			collectibles_279_bigfan.png
280	familiar	Sissy Longlegs	treasure,greedTreasure			collectibles_280_sissylonglegs.png
281	familiar	Punching Bag	treasure,greedTreasure			collectibles_281_punchingbag.png
282	active	How to Jump	treasure,library			collectibles_282_howtojump.png
283	active	D100	treasure,greedShop		1	collectibles_283_d100.png
284	active	D4	treasure,greedShop			collectibles_284_d4.png
285	active	D10	treasure,greedShop			collectibles_285_d10.png
286	active	Blank Card	treasure,shop,secret,greedShop			collectibles_286_blankcard.png
287	active	Book of Secrets	treasure,secret,library,greedLibrary			collectibles_287_bookofsecrets.png
288	active	Box of Spiders	treasure,greedTreasure			collectibles_288_boxofspiders.png
289	active	Red Candle	shop,greedShop			collectibles_289_redcandle.png
290	active	The Jar	shop			collectibles_290_thejar.png
291	active	Flush!	treasure,greedTreasure			collectibles_291_flush.png
292	active	Satanic Bible	treasure,devil,library,greedDevil,greedLibrary			collectibles_292_satanicbible.png
293	active	Head of Krampus				collectibles_293_headofkrampus.png
294	active	Butter Bean	treasure,beggar			collectibles_294_butterbean.png
295	active	Magic Fingers	treasure,shop			collectibles_295_magicfingers.png
296	active	Converter	shop			collectibles_296_converter.png
297	active	Pandora's Box	shop,redChest,greedShop			collectibles_297_bluebox.png
298	active	Unicorn Stump	treasure	speed		collectibles_298_unicornstump.png
299	passive	Taurus	treasure,greedTreasure	speed		collectibles_299_taurus.png
300	passive	Aries	treasure,greedTreasure	speed		collectibles_300_aries.png
301	passive	Cancer	treasure,greedTreasure			collectibles_301_cancer.png
302	passive	Leo	treasure,greedTreasure			collectibles_302_leo.png
303	passive	Virgo	treasure,greedTreasure			collectibles_303_virgo.png
304	passive	Libra	treasure	damage,firedelay,range,speed		collectibles_304_libra.png
305	passive	Scorpio	treasure,greedTreasure	tearflag		collectibles_305_scorpio.png
306	passive	Sagittarius	treasure,greedTreasure	speed,tearflag		collectibles_306_sagittarius.png
307	passive	Capricorn	treasure,greedTreasure	damage,firedelay,range,speed		collectibles_307_capricorn.png
308	passive	Aquarius	treasure,greedTreasure			collectibles_308_aquarius.png
309	passive	Pisces	treasure,greedTreasure	firedelay,tearflag		collectibles_309_pisces.png
310	passive	Eve's Mascara	treasure,greedTreasure	damage,firedelay,shotspeed,tearcolor		collectibles_310_evesmascara.png
311	passive	Judas' Shadow	treasure,devil,greedTreasure,greedDevil			collectibles_311_judasshadow.png
312	passive	Maggy's Bow	treasure,greedTreasure			collectibles_312_maggysbow.png
313	passive	Holy Mantle	treasure,angel,greedAngel			collectibles_313_holymantle.png
314	passive	Thunder Thighs	treasure,greedBoss	speed		collectibles_314_thunderthighs.png
315	passive	Strange Attractor	treasure,greedTreasure	tearflag		collectibles_315_strangeattractor.png
316	passive	Cursed Eye	treasure,secret,redChest,greedTreasure	damage,firedelay,luck,range,shotspeed,speed		collectibles_316_cursedeye.png
317	passive	Mysterious Liquid	treasure,greedTreasure	tearflag		collectibles_317_mysteriousliquid.png
318	familiar	Gemini	treasure,greedTreasure			collectibles_318_gemini.png
319	familiar	Cain's Other Eye	treasure,greedTreasure			collectibles_319_cainseye.png
320	familiar	???'s Only Friend	treasure,keyMaster,greedTreasure			collectibles_320_bluebabysonlyfriend.png
321	familiar	Samson's Chains	treasure,secret,greedTreasure			collectibles_321_samsonschains.png
322	familiar	Mongo Baby	treasure,greedTreasure			collectibles_322_mongobaby.png
323	active	Isaac's Tears	treasure			collectibles_323_isaacstears.png
324	active	Undefined	treasure			collectibles_324_Undefined.png
